feature,importance
jobhours_120h,394
n_jobs_120h,393
mem_temp_avg_lifetime,375
core_temp_fluct_lifetime,326
gpu_energy,322
mem_temp_fluct_lifetime,317
core_temp_avg_lifetime,299
jobhours_24h,260
power_max_lifetime,243
jobhours_6h,215
power_fluct_lifetime,214
hours_in_job,204
gpu_usage,202
power_avg_lifetime,198
n_jobs_24h,194
mem_temp_max_lifetime,187
mem_temp_range_lifetime,151
power_range_lifetime,149
power_min_lifetime,145
core_temp_max_lifetime,142
jobhours_1h,137
core_temp_range_lifetime,126
n_no_tele_6h,110
core_temp_fluct_1h,94
core_temp_min_lifetime,91
mem_temp_min_lifetime,90
n_jobs_6h,89
core_temp_fluct_1min,87
n_no_tele_5min,80
core_temp_fluct_6h,78
mem_temp_fluct_1h,76
n_no_tele_1h,73
core_temp_fluct_5min,71
mem_temp_fluct_6h,71
mem_temp_mean_6h,68
n_NA_mem_temp_6h,67
n_no_tele_15min,67
power_min_15min,59
mem_temp_max_6h,59
core_temp_mean_6h,58
power_fluct_15min,57
n_zero_core_temp,56
n_jobs_1h,56
power_min_5min,54
mem_temp_fluct_1min,53
n_NA_mem_temp_1h,52
power_min_1h,49
core_temp_range_5min,49
power_min_6h,48
power_mean_6h,47
flag_smt1,44
power_mean_1h,44
job_max_power,43
mem_temp_mean_15min,43
mem_temp_fluct_15min,41
job_min_power,40
mem_temp_mean_1h,40
n_NA_power_6h,39
mem_temp_fluct_5min,39
n_NA_core_temp_6h,38
core_temp_min_15min,38
power_fluct_1min,38
core_temp_min_1h,37
mem_temp_range_1h,37
n_NA_power_15min,36
mem_temp_range_6h,36
power_fluct_1h,36
core_temp_min_6h,35
n_NA_mem_temp_15min,33
power_mean_15min,33
power_range_1min,32
flag_nvme,31
power_fluct_6h,31
power_min_1min,30
core_temp_range_6h,30
n_NA_power_1h,29
n_no_tele_1min,29
job_range_power,27
power_max_15min,27
core_temp_max_6h,26
mem_temp_min_1h,25
core_temp_fluct_15min,25
mem_temp_max_1h,24
core_temp_mean_15min,24
mem_temp_min_15min,24
mem_temp_mean_1min,24
core_temp_max_1h,23
core_temp_mean_1h,22
power_range_15min,22
power_range_6h,21
mem_temp_min_6h,21
power_max_1h,21
power_max_6h,21
n_NA_core_temp_5min,20
core_temp_range_1min,20
core_temp_range_15min,20
core_temp_range_1h,20
core_temp_mean_1min,19
power_range_5min,19
n_NA_mem_temp_5min,19
flag_gpumps,19
mem_temp_range_1min,19
power_fluct_5min,19
flag_smt2,18
n_NA_core_temp_15min,18
mem_temp_mean_5min,18
power_range_1h,18
mem_temp_max_1min,18
n_NA_core_temp_1h,17
power_max_1min,17
core_temp_mean_5min,17
mem_temp_max_15min,16
mem_temp_min_5min,16
mem_temp_range_15min,14
core_temp_max_5min,14
power_mean_5min,13
n_zero_mem_temp,13
power_mean_1min,12
flag_gpudefault,11
power_max_5min,11
n_NA_power_5min,11
mem_temp_range_5min,10
core_temp_min_5min,10
core_temp_max_15min,10
n_NA_mem_temp_1min,8
mem_temp_min_1min,8
flag_smt4,5
core_temp_max_1min,5
flag_maximizegpfs,5
core_temp_min_1min,4
mem_temp_max_5min,4
n_NA_power_1min,3
n_NA_core_temp_1min,1
flag_disableautonuma,0
flag_cpublink,0
flag_isolategpfs,0
n_zero_power,0
