feature,importance
gpu_energy,0.0670170435816091
gpu_usage,0.03138436547484068
jobhours_24h,0.027764339528675762
n_jobs_24h,0.027013081698971875
n_jobs_120h,0.02677096735214501
jobhours_120h,0.0262387395948628
hours_in_job,0.025482719540228495
core_temp_avg_lifetime,0.022608103786838193
jobhours_1h,0.022279978066618494
n_NA_power_6h,0.019902218756741412
power_fluct_lifetime,0.01864502748247868
core_temp_fluct_lifetime,0.01800317175824828
power_avg_lifetime,0.017265967706727656
jobhours_6h,0.016993673373313253
mem_temp_avg_lifetime,0.016792478727896853
power_max_lifetime,0.015074123752922665
power_range_lifetime,0.01506054769756086
mem_temp_fluct_lifetime,0.014777375680000525
n_NA_power_1h,0.013782924216825676
n_jobs_6h,0.01237528232990304
n_no_tele_6h,0.012218598297246247
n_jobs_1h,0.011367587813006714
n_NA_power_15min,0.011330666974256377
core_temp_max_lifetime,0.011325908154969689
n_zero_core_temp,0.010987241689407238
n_zero_mem_temp,0.010936089587000477
core_temp_range_lifetime,0.010903978111131057
power_min_lifetime,0.009621563661015775
core_temp_range_15min,0.009461494078230112
n_no_tele_1h,0.00934477011121779
mem_temp_range_lifetime,0.009083017938148441
core_temp_fluct_5min,0.008487691067444922
mem_temp_max_lifetime,0.008296806972599794
core_temp_min_lifetime,0.008207838057069646
n_no_tele_5min,0.007506364073537501
power_max_1min,0.007481061146265575
power_min_6h,0.007372179994902044
core_temp_fluct_1min,0.00728981172731627
job_max_power,0.007159569107933192
power_range_15min,0.006828199820653917
power_mean_1min,0.006769457484607493
core_temp_fluct_15min,0.006693877961182543
power_min_15min,0.006369217323456203
n_no_tele_15min,0.006360581908562229
power_mean_6h,0.006225489899070087
power_max_5min,0.0061366500359640195
mem_temp_fluct_6h,0.006080063531279755
power_max_15min,0.006041406316609406
job_range_power,0.005930426282083097
power_min_1min,0.0059029648167915885
power_mean_1h,0.005833120150848631
mem_temp_min_lifetime,0.005810597670040958
power_min_1h,0.005618356700641503
mem_temp_fluct_5min,0.005614478548448495
job_min_power,0.005579274466227531
power_mean_15min,0.005428558069585126
n_NA_mem_temp_6h,0.00541118974474262
mem_temp_fluct_15min,0.005288410993822327
power_fluct_6h,0.005254184462110207
core_temp_fluct_1h,0.005249977400680096
mem_temp_fluct_1h,0.0052325680246383165
mem_temp_fluct_1min,0.005220508498585583
power_range_5min,0.005162023316258549
power_max_1h,0.00507689894900822
n_NA_core_temp_6h,0.005048076339416152
power_mean_5min,0.005032259796848225
power_max_6h,0.004996945183358881
core_temp_fluct_6h,0.004945530429774609
core_temp_range_1h,0.004886487874525287
mem_temp_mean_6h,0.004807700255043233
power_range_1min,0.004750295409016524
power_fluct_1min,0.004624650313990395
power_range_1h,0.004620030181984392
n_NA_mem_temp_1h,0.004612350165618964
core_temp_min_1h,0.004512430343373428
power_min_5min,0.004460891180061406
mem_temp_mean_1min,0.00443105617041181
n_NA_core_temp_1h,0.004401292311801631
mem_temp_range_15min,0.004306752086267918
power_fluct_5min,0.004231943483975822
core_temp_mean_1h,0.004202358065722688
power_range_6h,0.004145508583462813
core_temp_max_6h,0.0040925047242735485
n_NA_core_temp_15min,0.004088283190949001
power_fluct_15min,0.0040321213451918695
n_no_tele_1min,0.004018327779066924
mem_temp_max_1h,0.0039088080630278734
core_temp_range_6h,0.0038423869487395515
core_temp_mean_6h,0.0038077085593071834
power_fluct_1h,0.0038042510986798744
mem_temp_max_5min,0.003803182242772494
core_temp_mean_5min,0.0037170286184759066
core_temp_range_5min,0.003606530653673093
core_temp_mean_15min,0.0036063701101603962
mem_temp_range_5min,0.0035613235297829505
mem_temp_max_6h,0.00355695102876911
mem_temp_mean_5min,0.0034997057435260806
mem_temp_mean_15min,0.003443082314264046
mem_temp_range_6h,0.003423896553686179
mem_temp_mean_1h,0.0034234348346663785
n_NA_mem_temp_15min,0.003411845035281422
mem_temp_max_1min,0.003238858303624263
core_temp_mean_1min,0.0031852152183132845
n_NA_core_temp_5min,0.0031542866556474635
n_NA_mem_temp_5min,0.003022587787292487
core_temp_max_1min,0.003017570647703352
mem_temp_range_1h,0.002961105540651947
core_temp_min_6h,0.002942260602370212
mem_temp_max_15min,0.0027450340035368764
mem_temp_min_6h,0.002696335431791406
mem_temp_min_1h,0.0026940058965007198
core_temp_max_5min,0.002647327257810477
core_temp_min_15min,0.0026362560665727387
core_temp_max_1h,0.002589273860228041
core_temp_range_1min,0.0025051053863462455
mem_temp_min_1min,0.0025046520622707354
core_temp_max_15min,0.002352934124620549
mem_temp_min_5min,0.0022865361251037755
flag_smt1,0.002235895053106473
core_temp_min_5min,0.0022219024123150805
mem_temp_min_15min,0.0021504082325706315
core_temp_min_1min,0.0020630912831345297
mem_temp_range_1min,0.002039928232239033
n_NA_power_5min,0.0018693651880365375
flag_gpumps,0.0014701286499746193
n_NA_core_temp_1min,0.001426892828770445
n_NA_mem_temp_1min,0.0011782401551634254
n_NA_power_1min,0.0008129180389606095
flag_smt2,0.000779698509777161
flag_gpudefault,0.0007209148459877339
flag_smt4,0.000711921433715491
flag_nvme,0.0004920582263916129
flag_maximizegpfs,0.00024439755872157284
flag_disableautonuma,3.6599202345752254e-06
flag_isolategpfs,2.0828655612572667e-06
n_zero_power,8.1432568201229e-18
flag_cpublink,0.0
