feature,importance
power_range_5min,0.02737256
n_NA_power_6h,0.02721825
n_NA_power_1h,0.025665777
power_mean_1min,0.024388688
gpu_energy,0.01906095
core_temp_max_1min,0.01880345
mem_temp_min_1min,0.016019104
jobhours_1h,0.015382763
core_temp_range_15min,0.014794999
n_jobs_24h,0.014729382
mem_temp_mean_1h,0.013598395
mem_temp_mean_5min,0.013030003
n_zero_core_temp,0.013010644
mem_temp_max_1min,0.012914568
power_max_5min,0.012209533
core_temp_fluct_1min,0.011899903
mem_temp_fluct_5min,0.0116506675
job_range_power,0.0114836795
power_max_lifetime,0.010632975
core_temp_fluct_5min,0.010591948
n_NA_mem_temp_1h,0.010526297
mem_temp_max_1h,0.010521076
gpu_usage,0.010406656
core_temp_max_1h,0.0099887755
jobhours_24h,0.009973792
n_NA_mem_temp_6h,0.009941798
core_temp_avg_lifetime,0.009790178
mem_temp_min_1h,0.009654644
core_temp_mean_1h,0.009584823
power_mean_15min,0.009574675
power_max_1min,0.009231343
power_min_1h,0.009142684
hours_in_job,0.009119932
power_fluct_lifetime,0.00866019
flag_smt1,0.008659111
mem_temp_range_15min,0.008624043
n_NA_power_15min,0.008514101
jobhours_120h,0.008413374
n_zero_mem_temp,0.008276372
power_range_15min,0.008254076
mem_temp_mean_6h,0.008030776
n_NA_mem_temp_15min,0.008015458
core_temp_range_1min,0.007902231
mem_temp_min_6h,0.0077268872
power_min_6h,0.0076879584
core_temp_max_6h,0.0075495862
mem_temp_mean_1min,0.007546525
n_jobs_120h,0.007486644
core_temp_max_5min,0.0074738297
flag_gpumps,0.0074276594
mem_temp_avg_lifetime,0.007270571
n_jobs_1h,0.007258442
core_temp_min_lifetime,0.0071756053
n_NA_core_temp_5min,0.007074513
power_min_15min,0.006983952
core_temp_fluct_lifetime,0.0069775865
mem_temp_range_1h,0.00682041
power_range_lifetime,0.006724461
mem_temp_max_lifetime,0.00671234
power_avg_lifetime,0.0066921334
mem_temp_min_15min,0.006616122
core_temp_min_1h,0.0065815332
core_temp_fluct_1h,0.0065801716
core_temp_min_15min,0.006562363
power_mean_5min,0.006471527
mem_temp_fluct_6h,0.006465789
power_fluct_1min,0.0064009903
job_min_power,0.006381254
power_min_1min,0.0062904744
n_NA_core_temp_1min,0.006196189
core_temp_mean_1min,0.0061665378
mem_temp_max_6h,0.0061418754
core_temp_fluct_15min,0.005970394
power_range_1h,0.0059496127
mem_temp_fluct_lifetime,0.005896856
core_temp_fluct_6h,0.005894177
power_mean_1h,0.005868774
mem_temp_fluct_1min,0.0058552823
mem_temp_range_6h,0.005771763
mem_temp_fluct_15min,0.0057662167
n_NA_mem_temp_5min,0.0057136794
power_fluct_5min,0.0056433724
power_fluct_15min,0.0055685034
n_NA_power_1min,0.00554238
flag_smt2,0.0054890728
flag_nvme,0.005421421
n_no_tele_15min,0.005406152
core_temp_mean_6h,0.005359438
power_min_lifetime,0.0053384346
power_range_1min,0.0053033237
mem_temp_range_1min,0.00528347
power_fluct_1h,0.005205807
job_max_power,0.005133334
power_fluct_6h,0.0050746207
mem_temp_max_5min,0.0050229975
mem_temp_range_lifetime,0.004954376
n_NA_core_temp_6h,0.0049529667
core_temp_range_6h,0.0048767696
n_no_tele_5min,0.00486829
power_max_6h,0.0048497124
core_temp_range_5min,0.0048441966
mem_temp_fluct_1h,0.0048378473
n_no_tele_1min,0.0048098695
core_temp_min_6h,0.0047300262
core_temp_range_lifetime,0.004706274
mem_temp_range_5min,0.0045576002
mem_temp_min_lifetime,0.00451334
jobhours_6h,0.0045097023
core_temp_max_15min,0.0044985316
power_min_5min,0.004366639
power_max_15min,0.0041781943
core_temp_mean_15min,0.0040295757
power_max_1h,0.0039649094
n_jobs_6h,0.00396133
mem_temp_min_5min,0.0039432454
core_temp_max_lifetime,0.0039361864
n_no_tele_6h,0.0039201663
power_range_6h,0.0037550917
n_NA_core_temp_15min,0.0035498275
n_NA_power_5min,0.0033502749
core_temp_min_1min,0.003260415
mem_temp_mean_15min,0.0032277438
core_temp_mean_5min,0.003032937
power_mean_6h,0.0029515498
n_no_tele_1h,0.0026637414
core_temp_min_5min,0.00265161
n_NA_mem_temp_1min,0.0026275013
n_NA_core_temp_1h,0.002600449
core_temp_range_1h,0.0018258599
mem_temp_max_15min,0.0016774058
flag_smt4,0.0011733368
flag_gpudefault,0.0006548747
flag_cpublink,0.0
flag_maximizegpfs,0.0
flag_isolategpfs,0.0
flag_disableautonuma,0.0
n_zero_power,0.0
